Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Golkunda Diamond,523676,,Diamond Cutting / Jewellery, 178 , 124 
Nirman Agri,,NIRMAN,Miscellaneous, 208 , 124 
Auro Labs.,530233,,Pharmaceuticals - Indian - Bulk Drugs, 199 , 124 
Paras Petrofils,521246,PARASPETRO,Textiles - Manmade, 4 , 124 
APM Industries,523537,,Textiles - Spinning - Synthetic / Blended, 58 , 125 
Gayatri Projects,532767,GAYAPROJ,Construction, 7 , 125 
Bharat Immunolog,524663,,Pharmaceuticals - Indian - Formulations, 29 , 125 
Master Component,,MASTER,Plastics Products, 313 , 125 
Shri Gang Indus,523309,,Breweries & Distilleries, 70 , 126 
Orissa Bengal,541206,OBCL,Miscellaneous, 60 , 126 
Maruti Interior,543464,,Miscellaneous, 84 , 126 
Landmark Prop.,533012,LPDC,Construction, 9 , 126 
Sharat Industrie,519397,,Aquaculture, 53 , 126 
SagarSoft (India,540143,,Computers - Software - Medium / Small, 198 , 127 
MCON Rasayan,,MCON,Paints / Varnishes, 201 , 127 
Accel,517494,,Computers - Software - Medium / Small, 22 , 127 
Apis India,506166,,Food - Processing - Indian, 231 , 127 
Fiberweb (India),507910,FIBERWEB,Textiles - Products, 44 , 127 
Aditya Consumer,540146,,Trading, 87 , 127 
Tamboli Industri,533170,,Finance & Investments, 128 , 127 
Debock Industrie,,DIL,Trading, 8 , 128 
IFL Enterprises,540377,,Trading, 2 , 128 
Ausom Enter.,509009,AUSOMENT,Finance & Investments, 94 , 128 
Palred Technolog,532521,PALREDTEC,Computers - Software - Medium / Small, 105 , 129 
ANI Integrated,,AISL,Miscellaneous, 133 , 129 
SKIL Infrastr,539861,SKIL,Construction, 6 , 129 
Teamo Production,533048,TPHQ,Finance & Investments, 2 , 129 
Credent Global,539598,,Finance & Investments, 126 , 129 
Ascom Leasing &,,ASCOM,Finance & Investments, 111 , 130 
