Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Sagar Soya Prod,507663,,Solvent Extraction, 2 , 0 
Elcid Investment,503681,,Finance & Investments, 4 , 0 
PH Trading,512026,,Trading, 2 , 0 
Mrugesh Trading,512065,,Finance & Investments, 5 , 0 
G D Trad&Agency,504346,,Finance & Investments, 21 , 0 
Procal Electroni,526009,,Electronics - Components, 1 , 0 
Purity Flex Pack,523315,,Packaging, 2 , 0 
Turner Industrie,531164,,Diamond Cutting / Jewellery, 1 , 0 
Dugar Housing,511634,,Construction, 12 , 0 
Silicon Valley,531738,,Finance & Investments, 0 , 0 
G-Tech Info.,532139,,Computers - Software - Medium / Small, 2 , 1 
Baron Infotech,532336,,Computers - Software - Medium / Small, 1 , 1 
MPF Systems,532470,,Engineering, 56 , 1 
Silveroak Comm,512197,,Construction, 4 , 1 
Raymed Labs,531207,,Pharmaceuticals - Indian - Formulations, 2 , 1 
Rajvi Logitrade,511185,,Miscellaneous, 11 , 1 
Omansh Enterpri.,538537,,Trading, 1 , 1 
Blue Pearl,514440,,Trading, 46 , 1 
Stellant Secu.,526071,,Finance & Investments, 17 , 1 
IMEC Services,513295,,Miscellaneous, 7 , 1 
Indo Credit Cap.,526887,,Finance & Investments, 2 , 1 
Pasupati Fincap,511734,,Finance & Investments, 3 , 1 
Hi-Tech Winding,541627,,Paper, 3 , 2 
Deccan Polypacks,531989,,Packaging, 8 , 2 
TMT (I),522171,,Engineering, 4 , 2 
Tridev Infra.,531568,,Finance & Investments, 3 , 2 
Oswal Leasing,509099,,Finance & Investments, 38 , 2 
Fourth Gen.,532403,,Computers - Software - Medium / Small, 5 , 2 
Darjeeling Ropew,539770,,Construction, 7 , 2 
Aneri Fincap,531252,,Finance & Investments, 7 , 2 
Hindusthan Udyog,513039,,Engineering, 3 , 2 
Geetanjali Cred.,539486,,Finance & Investments, 5 , 2 
Supra Trends,511539,,Textiles - Products, 43 , 2 
Magnus Retail,517320,,Miscellaneous, 6 , 2 
M Lakhamsi Ind,512153,,Trading, 4 , 2 
Goldcoin Health,538542,,Trading, 8 , 2 
Bronze Infra,534731,,Construction, 1 , 2 
Concrete Infra,539266,,Trading, 3 , 2 
Transglobe Foods,519367,,Food - Processing - Indian, 162 , 2 
Omkar Overseas,531496,,Trading, 5 , 2 
Neogem India,526195,,Diamond Cutting / Jewellery, 3 , 2 
Kanungo Financi.,540515,,Finance & Investments, 5 , 2 
Peoples Invest,501144,,Finance & Investments, 125 , 3 
Swadeshi Inds,506863,,Trading, 2 , 3 
Bansisons Tea,519353,,Tea, 4 , 3 
Euro Asia Export,530929,,Trading, 16 , 3 
JPT Securities,530985,,Finance & Investments, 9 , 3 
Premium Capital,511660,,Finance & Investments, 4 , 3 
Tricom Fruit,531716,,Food - Processing - Indian, 1 , 3 
Carnation Inds.,530609,,Castings & Forgings, 8 , 3 
Kome-on Commun.,539910,,Entertainment / Electronic Media Software, 2 , 3 
Vasa Retail,,VASA,Trading, 5 , 3 
Gleam Fabmat,542477,,Trading, 3 , 3 
Khyati Multimed.,531692,,Entertainment / Electronic Media Software, 3 , 3 
Rajvir Inds.,532665,RAJVIR,Textiles - Jute - Yarn / Products, 7 , 3 
Universal Arts,532378,,Entertainment / Electronic Media Software, 3 , 3 
Dolphin Medical,526504,,Healthcare, 2 , 3 
S R Industries,513515,,Leather / Leather Products, 1 , 3 
Oscar Global,530173,,Leather / Leather Products, 9 , 3 
Shivansh Finserv,539593,,Finance & Investments, 5 , 3 
Source Industrie,521036,,Textiles - Processing, 3 , 3 
Tiaan Consumer,540108,,Trading, 3 , 3 
Nikki Glob.Fin.,531272,,Finance & Investments, 8 , 3 
Charms Industrie,531327,,Finance & Investments, 7 , 3 
Madhur Inds,519279,,Food - Processing - Indian, 7 , 3 
ACE EduTremd Ltd,530093,,Miscellaneous, 3 , 3 
Kanel Indust.,500236,,Trading, 2 , 3 
SBL Infratech,543366,,Construction, 36 , 3 
Krishna Fil. Ind,500248,,Textiles - Products, 4 , 3 
Rajeswari Infra.,526823,,Construction, 5 , 3 
Decorous Investm,539405,,Miscellaneous, 9 , 3 
Twinstar Indus.,531917,,Computers - Software - Medium / Small, 1 , 3 
Natura Hue Chem,531834,,Miscellaneous, 7 , 3 
CMM Infraproj,,CMMIPL,Construction, 2 , 3 
Arcee Industries,520121,,Steel - Medium / Small, 6 , 3 
Manor Estates,526115,,Construction, 4 , 3 
Saptak Chem &,506906,,Trading, 3 , 3 
SSPN FINANCE,539026,,Finance & Investments, 8 , 3 
Kuberan Global,543289,,Miscellaneous, 15 , 3 
PFL Infotech,531769,,Computers - Software - Medium / Small, 4 , 3 
City Online Ser.,538674,,Telecommunications - Service Provider, 6 , 3 
Richa Industries,532766,,Construction, 1 , 3 
Cistro Telelink,531775,,Trading, 1 , 3 
B P Capital,536965,,Finance & Investments, 6 , 3 
Vax Housing Fin.,531650,,Finance & Investments, 3 , 3 
Spectra Industri,513687,,Auto Ancillaries, 5 , 3 
JLA Infraville,538765,,Trading, 5 , 3 
Ekam Leasing,530581,,Finance & Investments, 6 , 3 
Kabra Drugs,524322,,Pharmaceuticals - Indian - Formulations, 8 , 3 
Uniworth,514144,,Textiles - Products, 1 , 3 
Aviva Industries,512109,,Trading, 24 , 4 
Abhishek Infra.,539544,,Construction, 7 , 4 
Systematix Sec.,531432,,Finance & Investments, 7 , 4 
Dharani Finance,511451,,Finance & Investments, 7 , 4 
Radhagobind Comm,539673,,Trading, 2 , 4 
R R Securities,530917,,Finance & Investments, 12 , 4 
Heera Ispat,526967,,Steel - Medium / Small, 6 , 4 
Kiran Syntex,530443,,Textiles - Spinning - Synthetic / Blended, 9 , 4 
Hanman Fit,538731,,Miscellaneous, 4 , 4 
Pagaria Energy,531396,,Mining / Minerals / Metals, 9 , 4 
High Street Fila,531301,,Trading, 59 , 4 
Regency Trust,511585,,Miscellaneous, 4 , 4 
Maruti Sec.,531319,,Finance & Investments, 8 , 4 
Jyothi Infra.,531537,,Construction, 25 , 4 
Gopal Iron Stl.,531913,,Trading, 8 , 4 
Taaza Intern.,537392,,Trading, 5 , 4 
Eureka Industrie,521137,,Textiles - Cotton/Blended, 5 , 4 
Diamant Infra.,508860,,Construction, 1 , 4 
Vitesse Agro,540823,,Trading, 9 , 4 
Adjia Tech,543269,,Computers - Software - Medium / Small, 45 , 4 
Hemo Organic,524590,,Chemicals, 12 , 4 
Pro CLB,540703,,Miscellaneous, 8 , 4 
Rajkot Inv.Trust,539495,,Finance & Investments, 40 , 4 
Jauss Polymers,526001,,Plastics Products, 9 , 4 
Class. Gl. Fin.,538433,,Finance & Investments, 1 , 4 
Chandrima Mercan,540829,,Trading, 19 , 4 
Desh Rakshak,531521,,Pharmaceuticals - Indian - Formulations, 9 , 4 
Fraser & Company,539032,,Trading, 5 , 4 
Kaarya Facilit.,540756,,Miscellaneous, 4 , 4 
Gravity (India),532015,,Textiles - Processing, 5 , 4 
Classic Leasing,540481,,Finance & Investments, 14 , 4 
T. Spiritual,532444,,Trading, 2 , 4 
EMA India,522027,,Engineering, 42 , 4 
Futuristic Sec.,523113,,Finance & Investments, 22 , 4 
Shelter Infra,526839,,Miscellaneous, 12 , 4 
KLG Capital,530771,,Finance & Investments, 13 , 4 
Amerise BioScie,531681,,Finance & Investments, 1 , 4 
Ashoka Refinerie,526983,,Trading, 13 , 4 
MFS Intercorp,513721,,Mining / Minerals / Metals, 10 , 4 
Svarnim Trade Ud,539911,,Trading, 18 , 4 
Hit Kit Global,532359,,Trading, 1 , 4 
Sikozy Realtors,524642,,Construction, 1 , 4 
Diksha Greens,542155,,Miscellaneous, 4 , 4 
New Light Appare,540243,,Trading, 20 , 4 
Dhenu Buildcon,501945,,Finance & Investments, 2 , 4 
Manipal Fin. Cor,507938,,Finance & Investments, 5 , 4 
Gangotri Textile,521176,GANGOTRI,Textiles - Cotton/Blended, 1 , 4 
Purple Entertain,540159,,Entertainment / Electronic Media Software, 5 , 4 
Mercury Trade Li,512415,,Trading, 17 , 4 
Elango Industrie,513452,,Miscellaneous, 12 , 5 
Multipurpose Trd,504356,,Finance & Investments, 9 , 5 
PAE,517230,,Auto Ancillaries, 4 , 5 
Gyan Developers,530141,,Construction, 15 , 5 
Mahaveer Infoway,539383,,Computers - Software - Medium / Small, 8 , 5 
Sarthak Global,530993,,Finance & Investments, 15 , 5 
Sr. Jayala. Auto,530037,,Textiles - Cotton/Blended, 10 , 5 
Ambition Mica,539223,,Miscellaneous, 3 , 5 
Starlite Comp.,517548,,Trading, 3 , 5 
Innocorp,531929,,Plastics Products, 6 , 5 
GCM Commodity,535917,,Finance & Investments, 6 , 5 
Siddhes. Garment,526877,,Trading, 14 , 5 
Encode Packaging,530733,,Packaging, 15 , 5 
KEN Fin.Serv.,530547,,Finance & Investments, 16 , 5 
Kuber Udyog,539408,,Finance & Investments, 14 , 5 
Padmanabh Inds.,526905,,Chemicals, 8 , 5 
Mahesh Developer,542677,,Construction, 11 , 5 
Atharv Enter,530187,,Trading, 3 , 5 
Priya,524580,,Trading, 16 , 5 
Ambitious Plasto,526439,,Trading, 8 , 5 
Vas Infra.,531574,,Construction, 3 , 5 
Jayatma Enterp.,539005,,Miscellaneous, 16 , 5 
Athena Construc.,539099,,Construction, 7 , 5 
Checkpoint Trend,531099,,Trading, 9 , 5 
Galada Finance,538881,,Finance & Investments, 16 , 5 
Padmalaya Tele.,532350,,Entertainment / Electronic Media Software, 3 , 5 
Datiware Mari.,519413,,Aquaculture, 10 , 5 
Bharatiya Glob.,533499,BGLOBAL,Computers - Software - Medium / Small, 3 , 5 
Brijlaxmi Leas.,532113,,Finance & Investments, 8 , 5 
Superior Finleas,539835,,Finance & Investments, 2 , 5 
Rajas. Petro Syn,506975,,Miscellaneous, 3 , 5 
Mayur Floorings,531221,,Miscellaneous, 10 , 5 
Aananda Lakshmi,539096,,Construction, 15 , 5 
Starlit Power,538733,,Mining / Minerals / Metals, 5 , 5 
Olympic Cards,534190,,Printing & Stationery, 3 , 5 
Swadha Nature,531039,,Miscellaneous, 12 , 5 
Capricorn System,512169,,Computers - Software - Medium / Small, 13 , 5 
AVI Polymers,539288,,Trading, 13 , 5 
Ontic Finserve,540386,,Finance & Investments, 1 , 5 
Patidar Buildcon,524031,,Construction, 10 , 5 
Svam Software,523722,,Finance & Investments, 3 , 5 
Shantai Indust.,512297,,Trading, 35 , 5 
Cindrella Fin.,531283,,Finance & Investments, 13 , 5 
I Power Solution,512405,,Computers - Software - Medium / Small, 12 , 5 
Ishaan Infrastru,540134,,Construction, 8 , 5 
SW Investments,503659,,Finance & Investments, 59 , 5 
Unitech Internat,531867,,Trading, 5 , 5 
Jagsonpal Fin.,530601,,Finance & Investments, 10 , 5 
Vintage Secur.,531051,,Finance & Investments, 15 , 5 
Relic Tech.,511712,,Finance & Investments, 15 , 5 
Sunraj Diamond,523425,,Trading, 10 , 5 
United Textiles,521188,,Textiles - Cotton/Blended, 18 , 5 
CitiPort Fin.,531235,,Finance & Investments, 17 , 5 
Ramchandra Leas.,538540,,Finance & Investments, 1 , 5 
Sashwat Technoc,506313,,Construction, 175 , 5 
Jalan Transol.,,JALAN,Miscellaneous, 4 , 5 
Pankaj Polymers,531280,,Trading, 10 , 5 
SDC Techmedia,535647,,Entertainment / Electronic Media Software, 8 , 5 
AFLOAT Enterpris,543377,,Trading, 12 , 5 
Fabino Life Sci.,543444,,Trading, 26 , 5 
Quantum Digital,530281,,Packaging, 18 , 5 
Ortel Commu.,539015,ORTEL,Entertainment / Electronic Media Software, 2 , 6 
Epsom Properties,531155,,Construction, 7 , 6 
Mid East Port.,526251,,Finance & Investments, 11 , 6 
Scintilla Comm,538857,,Finance & Investments, 6 , 6 
P.M. Telelinnks,513403,,Trading, 6 , 6 
Aditya Ispat,513513,,Steel - Medium / Small, 10 , 6 
Intl. Data Mgt.,517044,,Computers - Software - Medium / Small, 26 , 6 
Mahalaxmi Seam.,513460,,Steel - Medium / Small, 11 , 6 
Simplex Papers,533019,,Trading," 1,875 ", 6 
Space Incubatric,541890,,Miscellaneous, 2 , 6 
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software, 2 , 6 
Mahasagar Travel,526795,,Travel Agencies, 7 , 6 
Jayabharat Cred.,501311,,Finance & Investments, 11 , 6 
Omnipotent,543400,,Trading, 9 , 6 
Saffron Industri,531436,,Paper, 8 , 6 
Kinetic Trust,531274,,Finance & Investments, 17 , 6 
Integ. Proteins,519606,,Solvent Extraction, 16 , 6 
Coral Newsprints,530755,,Paper, 12 , 6 
Skyline Ventures,538919,,Trading, 15 , 6 
J J Finance Corp,523062,,Finance & Investments, 21 , 6 
Pacheli Indust.,523862,,Finance & Investments, 16 , 6 
Unishire Urban,537582,,Finance & Investments, 2 , 6 
Voltaire Leasing,509038,,Finance & Investments, 14 , 6 
Explicit Finance,530571,,Finance & Investments, 6 , 6 
Navoday Enterpri,543305,,Miscellaneous, 8 , 6 
East Buildtech,507917,,Construction, 32 , 6 
Progrex Ventures,531265,,Solvent Extraction, 16 , 6 
Suryo Foods,519604,,Aquaculture, 15 , 6 
Garodia Chemical,530161,,Trading, 8 , 6 
Virtualsoft Sys.,531126,,Computers - Software - Medium / Small, 6 , 6 
Prashant India,519014,,Textiles - Processing, 14 , 6 
Lead Financial S,531288,,Finance & Investments, 18 , 6 
Nihar Info Glob.,531083,,Computers - Software - Medium / Small, 6 , 6 
Lak. Prec. Screw,506079,LAKPRE,Fasteners, 6 , 6 
Mega Nirman,539767,,Trading, 18 , 6 
Khandelwal Extra,519064,,Solvent Extraction, 72 , 6 
T N Steel Tubes,513540,,Steel - Medium / Small, 12 , 6 
Mathew Easow Res,511688,,Finance & Investments, 9 , 6 
VXL Instruments,517399,,Computers - Hardware, 5 , 6 
Williamson Fin.,519214,,Finance & Investments, 7 , 6 
Shree Precoated,533110,,Construction, 15 , 6 
Ramasigns Indus.,515127,,Trading, 2 , 6 
Shamrock Indl.,531240,,Trading, 11 , 6 
Vallabh Steels,513397,,Steel - Medium / Small, 13 , 6 
Jayatma Industri,531323,,Trading, 10 , 6 
Purohit Const.,538993,,Construction, 14 , 6 
SGN Telecoms,531812,,Cables - Power, 1 , 6 
Sungold Capital,531433,,Finance & Investments, 3 , 6 
Aryan Share,542176,,Finance & Investments, 21 , 6 
Gratex Industrie,526751,,Paper, 21 , 6 
Konndor Indust.,532397,,Trading, 12 , 6 
Nutech Global,531304,,Trading, 20 , 6 
Jainco Projects,526865,,Construction, 6 , 6 
Narmada Macplast,517431,,Plastics Products, 18 , 6 
Vardhman Concr.,531444,,Cement Products, 9 , 6 
Hypersoft Tech.,539724,,Computers - Software - Medium / Small, 15 , 6 
Modella Woollens,503772,,Trading, 71 , 6 
Haria Exports,512604,,Textiles - Products, 6 , 6 
Ganon Products,512443,,Trading, 7 , 7 
Sybly Industries,531499,,Textiles - Cotton/Blended, 7 , 7 
Alchemist Corp.,531409,,Trading, 13 , 7 
Looks Health,534422,,Healthcare, 6 , 7 
GSL Securities,530469,,Finance & Investments, 20 , 7 
TeleCanor Global,530595,,Computers - Software - Medium / Small, 6 , 7 
Raconteur Global,541703,,Entertainment / Electronic Media Software, 22 , 7 
Thirani Projects,538464,,Finance & Investments, 3 , 7 
Sharanam Infra,539584,,Trading, 1 , 7 
Integ. Hitech,532303,,Computers - Software - Medium / Small, 7 , 7 
Mafia Trends,543613,,Trading, 15 , 7 
RCI Industries,537254,,Mining / Minerals / Metals, 4 , 7 
Ganesh Holdings,504397,,Finance & Investments, 164 , 7 
Neelkanth Rock,531049,,Miscellaneous, 13 , 7 
Shyama Infosys,531219,,Computers - Software - Medium / Small, 7 , 7 
MPS Pharmaa,531686,,Pharmaceuticals - Indian - Formulations, 3 , 7 
Stanpacks(India),530931,,Packaging, 11 , 7 
Shukra Jewellery,523790,,Construction, 5 , 7 
Standard Shoe,523351,,Trading, 13 , 7 
Quintegra Soln.,532866,QUINTEGRA,Computers - Software - Medium / Small, 3 , 7 
Welcure Drugs,524661,,Pharmaceuticals - Indian - Bulk Drugs & Formln, 5 , 7 
Garware Marine,509563,,Miscellaneous, 12 , 7 
United Leasing,507808,,Textiles - Products, 23 , 7 
Umiya Tubes,539798,,Steel - Medium / Small, 7 , 7 
Datasoft Applica,526443,,Computers - Software - Medium / Small, 61 , 7 
Melstar Info.,532307,MELSTAR,Computers - Software - Medium / Small, 5 , 7 
Amit Internation,531300,,Trading, 4 , 7 
Shoora Designs,543970,,Diamond Cutting / Jewellery, 46 , 7 
Bijoy Hans,524723,,Trading, 23 , 7 
Bharat Textiles,531029,,Textiles - Products, 12 , 7 
Quasar India,538452,,Trading, 13 , 7 
Agio Paper,516020,,Paper, 4 , 7 
Ind-Agiv Commer.,517077,,Trading, 69 , 7 
Sword-Edge Comm.,512359,,Trading, 0 , 7 
Krishna Capital,539384,,Finance & Investments, 22 , 7 
Aadi Industries,530027,,Plastics Products, 7 , 7 
Raghunath Intl.,526813,,Construction, 14 , 7 
CHD Chemicals,539800,,Trading, 7 , 7 
Incon Engineers,531594,,Engineering, 16 , 7 
Sturdy Industrie,530611,,Aluminium and Aluminium Products, 0 , 7 
Ace Engitech,530669,,Computers - Software - Medium / Small, 22 , 7 
Nutricircle,530219,,Food - Processing - Indian, 262 , 7 
eDynamics Solut.,535694,,Trading, 3 , 7 
Omni Ax's,532340,,Computers - Software - Medium / Small, 4 , 7 
Minolta Finance,532164,,Finance & Investments, 7 , 7 
Jain Marmo Inds,539119,,Miscellaneous, 23 , 7 
Interactive Fin,539692,,Finance & Investments, 24 , 7 
Ambassador Intra,542524,,Trading, 35 , 7 
Ramgopal Polytex,514223,,Trading, 5 , 7 
Sheshadri Indus.,539111,,Textiles - Products, 15 , 7 
Trio Merc. Trad.,534755,,Trading, 1 , 7 
Containerway Int,540597,,Miscellaneous, 11 , 7 
AVI Products,523896,,Trading, 23 , 7 
Oswal Yarns,514460,,Trading, 19 , 7 
Wherrelz IT,543436,,Computers - Software - Medium / Small, 191 , 7 
NCC Blue Water,519506,,Aquaculture, 10 , 7 
Silver Pearl,543536,,Hotels, 10 , 7 
Shashank Traders,540221,,Trading, 24 , 7 
Lynx Machinery,505320,,Miscellaneous, 126 , 8 
Sabrimala Indus.,540132,,Trading, 9 , 8 
Beeyu Overseas,532645,,Trading, 5 , 8 
Prem. Synthetic,509835,,Textiles - Cotton/Blended, 16 , 8 
CLIO Infotech,530839,,Computers - Software - Medium / Small, 7 , 8 
Fone4 Communica.,543521,,Trading, 4 , 8 
Integra Tele.,536868,,Computers - Software - Medium / Small, 7 , 8 
Mega Fin (India),532105,,Finance & Investments, 9 , 8 
N2N Technologies,512279,,Computers - Software - Medium / Small, 24 , 8 
Mahan Industries,531515,,Finance & Investments, 2 , 8 
Vinayak Polycon,534639,,Packaging, 25 , 8 
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations, 13 , 8 
Santosh Fin Fab,530035,,Textiles - Processing, 22 , 8 
Nexus Surgical,538874,,Trading, 14 , 8 
Mystic Electron.,535205,,Trading, 4 , 8 
Brawn Biotech,530207,,Trading, 26 , 8 
Devine Impex,531585,,Trading, 8 , 8 
Retro Green,519191,,Tea, 9 , 8 
Ramsons Projects,530925,,Finance & Investments, 26 , 8 
Jetmall Spices,543286,,Trading, 13 , 8 
Golkonda Alumin.,513309,,Trading, 15 , 8 
CMI,517330,CMICABLES,Cables - Power, 5 , 8 
First Fintec,532379,,Computers - Software - Medium / Small, 8 , 8 
Haria Apparels,538081,,Textiles - Products, 5 , 8 
Chambal Brewer,512301,,Trading, 11 , 8 
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended, 7 , 8 
Bloom Dekor,526225,,Miscellaneous, 12 , 8 
Gujarat Cotex,514386,,Trading, 6 , 8 
Kumbhat Fin.,526869,,Finance & Investments, 17 , 8 
Vision Corpn.,531668,,Entertainment / Electronic Media Software, 4 , 8 
RSC Internl.,530179,,Trading, 14 , 8 
Super Bakers (I),530735,,Food - Processing - Indian, 27 , 8 
Perfect-Octave,521062,,Entertainment / Electronic Media Software, 2 , 8 
Hittco Tools,531661,,Engineering, 13 , 8 
Cont. Controls,531460,,Electric Equipment, 14 , 8 
Vaxfab Enterp.,542803,,Trading, 10 , 8 
Agarwal Fortune,530765,,Trading, 24 , 8 
Mehta Securities,511738,,Finance & Investments, 27 , 8 
Enterprise Intl.,526574,,Trading, 28 , 8 
Jet Infraventure,538794,,Construction, 20 , 8 
Foundry Fuel,513579,,Miscellaneous, 10 , 8 
Janus Corporatio,542924,,Construction, 6 , 8 
Glittek Granites,513528,,Miscellaneous, 3 , 8 
Golden Carpets,531928,,Textiles - Products, 13 , 8 
Symbiox Investme,539278,,Finance & Investments, 3 , 8 
Goyal Associates,530663,,Finance & Investments, 2 , 9 
Sanchay Finvest,511563,,Finance & Investments, 27 , 9 
Tranway Technol.,542923,,Computers - Software - Medium / Small, 8 , 9 
Hind.Bio Science,532041,,Trading, 8 , 9 
Integra Capital,531314,,Finance & Investments, 18 , 9 
G K Consultants,531758,,Finance & Investments, 16 , 9 
Quantum Build,538596,,Construction, 3 , 9 
Union Qual. Pla.,526799,,Plastics Products, 12 , 9 
iStreet Network,524622,,Trading, 4 , 9 
Jonjua Overseas,542446,,Computers - Software - Medium / Small, 11 , 9 
Naksh Precious,539402,,Trading, 8 , 9 
FGP,500142,,Miscellaneous, 7 , 9 
Promact Impex,526494,,Miscellaneous, 13 , 9 
V B Desai Fin.,511110,,Finance & Investments, 20 , 9 
Ashram Online,526187,,Construction, 7 , 9 
Shashwat Furnis.,543519,,Miscellaneous, 43 , 9 
Goenka Business,538787,,Finance & Investments, 7 , 9 
Peeti Securities,531352,,Trading, 24 , 9 
Hasti Finance,531387,,Finance & Investments, 8 , 9 
Wagend Infra,503675,,Finance & Investments, 2 , 9 
Kobo Biotech,531541,,Pharmaceuticals - Indian - Bulk Drugs & Formln, 4 , 9 
Aris Interna.,531677,,Computers - Software - Medium / Small, 60 , 9 
Mukta Agricultur,535204,,Trading, 4 , 9 
CDG Petchem,534796,,Trading, 29 , 9 
Nouveau Global,531465,,Trading, 0 , 9 
Esha Media,531259,,Miscellaneous, 12 , 9 
Milestone Furn.,541337,,Miscellaneous, 10 , 9 
Parker Agrochem,524628,,Miscellaneous, 19 , 9 
Monind,532078,,Mining / Minerals / Metals, 25 , 9 
KMF Builders,531578,,Construction, 8 , 9 
Dhanvantri Jeev.,531043,,Healthcare, 22 , 9 
Amanaya Ventures,543804,,Trading, 25 , 9 
Kiran Print Pack,531413,,Trading, 19 , 9 
Neo Infracon,514332,,Construction, 18 , 9 
NB Footwear,523242,,Leather / Leather Products, 7 , 9 
Subhash Silk,530231,,Textiles - Products, 22 , 9 
Ashiana Agro Ind,519174,,Trading, 21 , 9 
Euro Leder Fash,526468,,Leather / Leather Products, 21 , 9 
Rama Petrochem,500358,,Trading, 9 , 9 
Vision Cinemas,526441,,Entertainment / Electronic Media Software, 1 , 9 
Welterman Intl.,526431,,Fertilizers, 22 , 10 
V R Woodart,523888,,Miscellaneous, 6 , 10 
Bridge Securitie,530249,,Miscellaneous, 29 , 10 
Midwest Gold,526570,,Mining / Minerals / Metals, 30 , 10 
Swagtam Trading,539406,,Miscellaneous, 82 , 10 
Kore Foods,500458,,Food - Processing - Indian, 8 , 10 
Virgo Global,532354,,Computers - Software - Medium / Small, 9 , 10 
Senthil Infotek,531980,,Computers - Software - Medium / Small, 19 , 10 
Pankaj Piyush,506122,,Finance & Investments, 245 , 10 
Ushakiran Fin.,511507,,Finance & Investments, 39 , 10 
Dhyaani Trade,543516,,Trading, 23 , 10 
K Z Leasing,511728,,Finance & Investments, 32 , 10 
Accord Synergy,,ACCORD,Telecommunications - Service Provider, 28 , 10 
V B Industries,539123,,Finance & Investments, 8 , 10 
Flora Corporatio,540267,,Trading, 11 , 10 
Uniroyal Marine,526113,,Aquaculture, 15 , 10 
Chemo Pharma Lab,506365,,Pharmaceuticals - Indian - Bulk Drugs, 66 , 10 
Vaghani Techno,531676,,Construction, 19 , 10 
Aravali Sec,512344,,Finance & Investments, 7 , 10 
Rajputana Invest,539090,,Trading, 32 , 10 
Gagan Gases,524624,,Chemicals, 22 , 10 
Polycon Intl.,531397,,Plastics Products, 20 , 10 
Zinema Media,538579,,Entertainment / Electronic Media Software, 14 , 10 
Indian Link Ch.,504746,,Trading, 200 , 10 
Libord Securitie,531027,,Finance & Investments, 20 , 10 
Soma Papers,516038,,Paper, 71 , 10 
Panafic Industri,538860,,Finance & Investments, 1 , 10 
Ashtasidhhi Ind,531341,,Textiles - Products, 13 , 10 
Decillion Financ,539190,,Finance & Investments, 29 , 10 
Southern Infosys,540174,,Trading, 20 , 10 
IGC Industries,539449,,Trading, 45 , 10 
Longspur Intl,504340,,Trading, 7 , 10 
BKM Industries,539043,BKMINDST,Packaging, 2 , 10 
Siddha Ventures,530439,,Finance & Investments, 10 , 10 
Arihant's Secur.,531017,,Finance & Investments, 20 , 10 
Innovative Tyres,,,Tyres, 6 , 10 
Dr Lalchand. Lab,541299,,Healthcare, 24 , 10 
Shangar Decor,540259,,Miscellaneous, 8 , 10 
Transpact Enter.,542765,,Trading, 264 , 10 
Sea TV Network,533268,,Entertainment / Electronic Media Software, 9 , 10 
OTCO Intl,523151,,Miscellaneous, 8 , 10 
Radaan Media.,590070,RADAAN,Entertainment / Electronic Media Software, 2 , 10 
Worldwide Alumi.,526525,,Trading, 31 , 10 
Ahimsa Industrie,,AHIMSA,Plastics Products, 19 , 10 
R G F Capital,539669,,Finance & Investments, 1 , 10 
SAB Events,540081,SABEVENTS,Entertainment / Electronic Media Software, 10 , 10 
Triton Corp.,523387,,Computers - Software - Medium / Small, 1 , 10 
Bindal Exports L,540148,,Textiles - Products, 23 , 10 
VCU Data Managem,536672,,Trading, 7 , 10 
Sirohia & Sons,538667,,Trading, 10 , 10 
VKJ Infradevelop,536128,,Construction, 0 , 10 
Risa Internatio.,530251,,Trading, 1 , 11 
Tulasee Bio-Eth.,524514,,Chemicals, 18 , 11 
Net Pix Shorts,543247,,Entertainment / Electronic Media Software, 33 , 11 
Adinath Exim Res,532056,,Finance & Investments, 24 , 11 
Coastal Roadways,520131,,Miscellaneous, 26 , 11 
Universal Office,523519,,Trading, 7 , 11 
Natl. Plywood,516062,,Miscellaneous, 4 , 11 
Bazel Internatio,539946,,Finance & Investments, 55 , 11 
Shakti Press,526841,,Printing & Stationery, 30 , 11 
Stellar Capital,536738,,Finance & Investments, 4 , 11 
Bhagawati Oxygen,509449,,Chemicals, 47 , 11 
Kandagiri Spinng,521242,,Trading, 28 , 11 
Anna Infrastruct,530799,,Construction, 28 , 11 
Servoteach Inds.,531944,,Engineering - Turnkey Services, 28 , 11 
Simplex Mills,533018,,Trading," 3,615 ", 11 
Garware Synth,514400,,Textiles - Products, 19 , 11 
Mipco Seaml Ring,505797,,Computers - Software - Medium / Small, 30 , 11 
ANS Industries,531406,,Food - Processing - Indian, 12 , 11 
Univa Foods,526683,,Hotels, 8 , 11 
Vedant Asset,543623,,Finance & Investments, 39 , 11 
Soni Medicare,539378,,Healthcare, 26 , 11 
Munoth Commun.,511401,,Trading, 11 , 11 
Photon Capital,509084,,Finance & Investments, 73 , 11 
BGIL Films & Tec,511664,,Entertainment / Electronic Media Software, 10 , 11 
Kuwer Industries,530421,,Packaging, 12 , 11 
Epic Energy,530407,,Electric Equipment, 12 , 11 
Maitri Enterp.,513430,,Trading, 25 , 11 
Kisaan Parivar,519230,,Finance & Investments, 13 , 11 
Gallops Enterp.,531902,,Construction, 22 , 11 
Suumaya Corp.,543274,,Trading, 5 , 11 
Dhruv Wellness,540695,,Trading, 11 , 11 
M P Agro Inds.,506543,,Fertilizers, 19 , 11 
